ID,y
1,82.61947
2,97.57789
3,83.21888
4,77.14639
5,112.47768
8,91.41522
10,100.86103
11,94.99397
12,116.906456
14,95.88156
15,115.78233
16,105.56638
17,101.090515
19,91.06224
20,100.36565
21,104.28789
22,118.45773
23,101.090515
26,96.204315
28,95.67742
29,101.090515
33,101.090515
35,94.49848
41,101.090515
42,94.725395
43,113.29572
45,101.953094
46,101.023186
51,94.42289
53,84.246666
55,108.88308
56,105.46655
57,109.59572
58,99.045654
59,103.74036
63,105.47333
64,94.59519
65,100.276665
69,97.502045
71,99.39901
72,104.65524
73,95.601585
76,104.28115
77,96.3335
78,116.07044
82,94.16593
83,100.276665
84,100.98208
85,106.7542
87,110.332466
88,101.090515
89,110.449394
91,97.8549
93,102.39725
94,104.36774
95,100.03046
96,111.23578
97,95.60668
98,109.8483
99,98.827415
101,105.92782
103,110.449394
104,93.8449
105,109.66287
110,97.0588
111,102.490166
113,105.67663
114,97.15116
115,111.55072
117,110.449394
120,96.13248
121,112.920425
122,94.237595
123,106.334724
126,108.393684
132,109.08874
135,110.94113
137,102.65572
138,95.04242
140,104.2952
142,108.742676
144,110.64803
148,91.787926
149,111.94312
155,101.901245
156,111.653114
157,95.60668
162,114.18434
163,95.977974
167,94.92017
172,113.29572
179,107.387856
180,94.71108
181,108.279434
182,97.67231
183,110.449394
185,110.449394
187,107.24492
188,93.10159
189,94.22658
191,93.59855
192,104.04054
193,93.5245
194,107.96002
195,94.71066
196,99.25441
198,109.134514
199,111.159615
201,100.06153
204,94.9999
205,106.50817
206,106.131424
210,97.002495
211,105.92782
216,111.88606
219,116.906456
220,92.38291
221,109.2096
226,108.279434
227,93.385056
228,110.01308
230,109.57278
231,95.60668
235,118.45773
236,99.37528
238,111.58287
242,103.8573
243,94.51004
244,79.362656
245,110.491165
247,117.89472
248,94.827866
249,92.02386
250,113.40082
251,99.37528
253,118.45773
254,95.32439
256,95.28704
257,92.07385
258,109.09022
259,98.42365
262,91.82313
266,101.01949
267,113.123634
272,104.06248
273,110.449394
275,94.287415
276,109.51137
279,93.48269
280,100.276665
283,92.83823
285,109.751755
288,110.449394
289,109.58558
290,100.64329
291,95.205185
292,105.05764
293,105.58413
296,94.024216
297,105.40403
298,116.07044
299,93.78444
304,91.99334
305,88.38041
306,94.63526
307,109.23588
311,104.00805
313,109.10547
314,92.5208
316,108.83264
324,112.64083
327,98.97727
329,92.53309
330,109.43682
337,97.57187
338,95.17585
339,98.85392
340,93.86018
343,93.35551
345,115.64205
346,96.69859
347,112.27595
349,110.1721
350,94.62242
352,103.29039
353,92.42206
354,91.5928
357,95.965965
358,107.855896
362,107.83222
364,103.98521
365,101.48543
366,103.73868
367,106.63269
368,93.87471
370,80.6368
373,98.866234
377,93.33439
378,107.543686
382,104.28115
384,110.115974
390,97.21597
392,111.91104
393,112.43631
395,94.48376
396,96.736046
399,80.27277
406,109.10547
408,109.10547
409,95.28905
